en,ja
foolish,愚かな
helped,助けました
kitchen,キッチン
sell,売る
anybody,誰でも
self,自己
extremely,極めて
treatment,処理
throat,喉
dreams,夢
patient,患者
speed,速度
growth,成長
quantity,量
Latin,ラテン語
immense,巨大
conclusion,結論
computer,コンピューター
affected,影響を受けます
severe,重度
excuse,言い訳
triumph,勝利
origin,原点
Joseph,ジョセフ
slept,眠っていました
eternal,永遠の
thine,ザイン
audience,聴衆
pages,ページ
sounds,音
swift,迅速
limited,限られました
wings,翼
stepped,ステップ
services,サービス
library,図書館
remaining,残り
containing,含みます
base,ベース
confusion,錯乱
win,勝つ
maid,メイド
charming,魅力的な
editions,版
attended,出席した
softly,そっと
reality,現実
performed,行っ
glorious,輝かしいです
likewise,同様に
site,地点
sail,帆
frightened,おびえ
acquainted,知り合い
unhappy,不幸
feared,恐れ
article,論文
prisoners,囚人たち
store,お店
adopted,採用
shalt,なかれ
remark,リマーク
cook,クック
thousands,数千
pause,休止
inclined,傾きました
convinced,確信して
band,バンド
valuable,貴重
hence,それゆえに
desert,砂漠
effects,効果
kiss,接吻
plant,工場
ice,氷
ball,玉
stick,スティック
absolute,絶対の
readily,容易に
behold,見よ
fierce,激しい
argument,引数
observe,観察する
blessed,恵まれました
bosom,懐
rage,激怒
striking,目立ちます
discovery,発見
creatures,生き物
shouted,叫びました
guilty,有罪の
related,関連
setting,セッティング
forgot,忘れてしまいました
punishment,罰
gun,銃
slightly,わずかに
articles,用品
police,警察
mysterious,神秘的
extended,拡張
confess,告白する
shade,シェード
murder,殺人
emotion,感情
destruction,破壊
wondered,疑問に思いました
increasing,増加
hide,隠す
expedition,遠征
horror,ホラー
local,地元
expenses,経費
ignorant,無知の
doctrine,ドクトリン
generous,寛容な
range,範囲
host,ホスト
wet,ぬれました
cloud,雲
mystery,神秘
Ed,エド
waste,無駄
changes,変更
possess,所有します
consciousness,意識
February,2月
trembling,震え
disease,疾患
formerly,先に
spend,費やす
production,製造
source,ソース
mankind,人類
universal,ユニバーサル
deck,デッキ
sees,見ています
habits,習慣
estate,エステート
aunt,叔母
reign,治世
humble,つつましいです
compliance,コンプライアンス
delay,ディレイ
shining,シャイニング
reported,報告
hers,彼女の物
unfortunate,不運な
midnight,真夜中
listening,聞いている
flower,花
hero,ヒーロー
accomplished,熟練しました
doth,おら
classes,クラス
thanks,感謝
banks,銀行
philosophy,哲学
belong,属する
finger,指
comfortable,快適
market,市場
cap,キャップ
waves,波浪
woman's,女性の
glanced,チラリ
troubled,困っ
difficulties,難しさ
picked,選びました
European,欧州の
purposes,目的
somewhere,何処か
delighted,喜んで
pushed,プッシュ
press,押す
household,家庭
fleet,艦隊
baby,赤ちゃん
region,領域
lately,近頃
uttered,発話
exact,精密
image,画像
ages,年齢
murmured,つぶやい
melancholy,憂鬱
suspicion,疑い
bowed,お辞儀
refuse,ごみ
Elizabeth,エリザベス
staff,スタッフ
liability,責任
we'll,上手
enjoyed,楽しん
stretched,伸び
gaze,視線
belonged,所属
ashamed,恥ずかしい
reward,褒賞
meal,お食事
blame,責め
nodded,うなずい
status,状態
opinions,意見
indicate,示す
poem,詩
savage,野蛮
arise,生じます
voyage,航海
misery,悲惨
guests,ゲスト
painted,描きました
attend,出席
afford,与えます
donate,寄付
job,ジョブ
proceed,進みます
loves,愛
forehead,額
regret,後悔
plainly,はっきり
risk,危険
ad,広告
lighted,点灯
angel,天使
rapid,急速
distinct,明確な
doubtless,疑いもなく
properly,正しく
wit,機転
fame,名声
singular,特異な
error,エラー
utmost,最大の
methods,方法
reputation,評判
appeal,アピール
she's,彼女は
w,ワット
strongly,強く
Margaret,マーガレット
lack,欠如
breaking,速報
dawn,夜明け
violence,暴力
fatal,致命的な
render,与えます
career,キャリア
design,設計
displayed,表示されました
gets,取得
commercial,商業の
forgive,許します
lights,ライト
agreeable,快いです
suggestion,提案
utter,全くの
sheep,羊
resolution,解決
spare,予備の
patience,根気
domestic,国内の
concluded,締結
tis,TIS
farm,ファーム
reference,参照
Chinese,中国の
exist,が存在
corn,コーン
approaching,近づきます
alike,共に
mounted,マウント
Jane,ジェーン
issue,問題
key,キー
providing,提供
majority,大多数
measures,対策
towns,町
flame,火炎
Boston,ボストン
dared,あえて
ignorance,無知
reduced,削減
occasionally,時には
y,Y
weakness,弱点
furnished,家具
china,中国
priests,司祭
flying,飛行
cloth,布
gazed,見つめ
profit,利益
fourth,第4
bell,ベル
hitherto,これまで
benefit,ベネフィット
movements,動作
eagerly,熱心に
acted,行動
urged,促しました
ascii,アスキー
disposed,配置されました
electronically,電子的に
atmosphere,雰囲気
chapter,章
begged,懇願
Helen,ヘレン
hole,穴
invited,招待
borne,ボルネ
departed,出航
catholic,カソリック
files,ファイル
reasonable,合理的
sugar,シュガー
replacement,置換
sigh,はぁ
humanity,人類
thrust,推力
frame,フレーム
opposition,反対
disk,ディスク
haste,速攻
lonely,寂しい
artist,アーティスト
knight,騎士
quarters,四半期
charm,チャーム
substance,物質
rolled,ロール
email,Eメール
flung,投げつけ
celebrated,名高いです
division,分割
slavery,奴隷
verse,詩
decision,決定
probable,ありそう
painful,痛いです
governor,知事
forever,永久に
turns,ターン
branch,ブランチ
ocean,海洋
rear,リア
leader,盟主
delightful,楽しい
stared,見つめていました
boats,ボート
keen,熱心
disposition,配置
senses,感覚
occasions,機会
readable,可読
beloved,愛されし者
inches,インチ
bones,骨格
enthusiasm,熱意
materials,材料
luck,幸運
derived,派生
managed,管理
community,コミュニティ
apparent,見かけ上
preserved,保存
magnificent,壮大
hurry,急ぎます
scheme,スキーム
oil,油
thence,そこから
reaching,到達
dim,薄暗いです
wretched,悲惨
hanging,ハング
pipe,パイプ
useless,役に立ちません
nevertheless,それにもかかわらず
print,プリント
smooth,滑らか
solid,固体
pursued,追求
necessarily,必ずしも
build,ビルド
attempted,未遂
centuries,何世紀
eggs,卵
equivalent,同じ
hastily,急いで
burned,焼け
you'd,あなたの思い
recent,最近
oh,ああ
travel,トラベル
cries,叫び
noon,正午
crying,泣いて
generations,世代
located,位置
cabin,キャビン
announcement,発表
Britain,英国
compared,比べ
handed,左利き
cease,止めます
smaller,小さいです
circumstance,事情
tent,テント
frequent,頻出
alarm,警報
nervous,ナーバス
beast,獣
what's,何
aloud,声を出して
independent,独立の
gates,ゲート
distinction,区別
essential,不可欠
observation,観察
stronger,より強く
recovered,回復
belonging,所属する
loving,愛します
masters,マスター
writers,作家
cf.,参照
permanent,恒久
mortal,人間
stern,厳しいです
gratitude,感謝
preserve,保存します
burden,重荷
aspect,側面
millions,何百万人
merry,メリー
knife,ナイフ
dread,ドレッド
clever,賢いです
applicable,適用できます
district,地区
shadows,影
Jim,ジム
silk,シルク
failure,故障
links,リンク
cent,セント
sentiment,感情
amid,中で
profits,利益
agent,エージェント
finds,発見
Russia,ロシア
bade,バーデ
Russian,ロシア
desperate,やけくその
union,連合
imagined,想像
contempt,侮辱
raising,調達
lords,領主
hell,地獄
separated,分離
grant,付与
seriously,ひどく
tribes,部族
hit,ヒット
enormous,莫大
defective,欠陥のあります
conviction,信念
secured,確保
mixed,ミックス
insisted,主張
wooden,木製
prefer,好む
prayers,祈り
fever,熱
selected,選択
daughters,娘
treat,御馳走
warning,警告
flew,飛びました
speaks,話します
developed,発展した
impulse,衝動
slipped,転落
ours,私たちのもの
Johnson,ジョンソン
mistaken,間違いました
damages,損害賠償
ambition,野心
resumed,再開
christmas,クリスマス
yield,産出
ideal,理想的
schools,学校
confirmed,確認
descended,下降
rush,ラッシュ
falls,滝
deny,否定します
calculated,計算
correct,正しい
perform,行います
hadn't,ていませんでした
somehow,何とかして
accordingly,それに応じて
stayed,滞在
acquired,獲得しました
counsel,顧問
distress,苦悩
sins,罪
notion,概念
discussion,討論
constitution,憲法
Anne,アン
hundreds,何百
instrument,器械
firmly,固く
actions,行動
steady,安定しました
remarks,備考
empire,帝国
elements,要素
idle,遊休
pen,ペン
entering,入り
online,オンライン
Africa,アフリカ
permit,許可
th',目」
tide,潮
vol,巻
leaned,寄りかかっ
college,カレッジ
maintain,維持します
sovereign,主権者
tail,尾
generation,世代
crowded,混雑
fears,恐怖
nights,ナイツ
limitation,制限
tied,縛ら
horrible,恐ろしい
cat,ネコ
displaying,表示します
port,ポート
male,男性
experienced,経験豊かな
opposed,反対
treaty,条約
contents,コンテンツ
rested,休養
mode,モード
poured,注ぎ
les,レ
occur,発生する
seeking,シーク
practically,実際に
abandoned,捨てられました
reports,レポート
eleven,十一
sank,沈没
begins,始まります
founded,設立
brings,もたらします
trace,痕跡
instinct,本能
collected,集めました
Scotland,スコットランド
characteristic,特性
chose,選びました
cheerful,陽気な
tribe,部族
costs,コスト
threatened,脅かさ
arrangement,配置
western,西洋の
sang,歌っ
beings,人間
Sam,サム
pressure,圧力
politics,政治
sorts,並べ替え
shelter,シェルター
rude,無礼
scientific,科学的
revealed,明らかにしました
winds,風
riding,ライディング
scenes,シーン
shake,シェイク
industry,業界
claims,請求
pp.,頁。
merit,値する
profession,職業
lamp,ランプ
interview,インタビュー
territory,地域
sleeping,睡眠
sex,性別
coffee,コーヒー
devotion,献身
thereof,その
creation,創造
trail,トレイル
Romans,ローマ人への手紙
supported,サポート
requires,必要となります
fathers,父親
prospect,見込み
obey,従う
Alexander,アレクサンダー
shone,輝き
operation,操作
northern,北方
nurse,ナース
profound,深遠
hungry,空腹の
Scott,スコット
sisters,姉妹
assure,保証
exceedingly,極めて
match,一致
wrath,激怒
continually,絶えず
rest.,残り。
gifts,贈り物
folly,愚行
chain,鎖
uniform,ユニフォーム
debt,債務
teaching,教育
venture,ベンチャー
execution,実行
shoes,靴
mood,気分
crew,クルー
perceive,気付きます
accounts,アカウント
eating,食べること
multitude,群衆
declare,宣言
yard,ヤード
o'er,o'er
astonishment,驚き
version,バージョン
vague,漠然としました
odd,奇妙な
grateful,感謝します
nearest,最寄り
infinite,無限
elsewhere,他の場所
copying,コピー
apartment,アパート
activity,アクティビティ
wives,妻たち
parted,partedを
security,セキュリティ
cared,被介護
sensible,賢明
owing,借金
Martin,マーティン
Saturday,土曜日
cottage,コテージ
Jews,ユダヤ人
leaning,傾きました
capacity,容量
joe,ジョー
settle,解決する
referred,言及
Francis,フランシス
holder,保有者
involved,関与
sunshine,日光
Dutch,オランダの
council,協議会
princes,王子
ate,食べました
examination,検査
steel,鋼
strangers,他人
beheld,beholdの過去過去分詞
test,テスト
noted,了解しました
slightest,わずか
widow,未亡人
charity,チャリティ
realized,実現
element,素子
shed,小屋
errors,エラー
communication,コミュニケーション
reflection,反射
attacked,攻撃
organization,組織
maintained,維持
restored,復元
folks,人々
concealed,隠し
accordance,従っ
heavens,天上
star,星
examined,検討
deeds,行為
wordforms,wordforms
somebody,誰か
incident,インシデント
oath,誓い
guest,ゲスト
bar,バー
row,行
poverty,貧困
bottle,ボトル
prevented,防止
bless,祝福
stir,攪拌
intense,激しいです
completed,完成
quarrel,けんか
touching,感動
inner,インナー
available,利用できます
fix,修正
resistance,抵抗
unusual,珍しいです
deed,証書
derive,派生する
hollow,空洞
suspected,疑わ
contains,含まれています
sighed,ため息をつきました
province,州
deserted,さびれ
establishment,確立
vote,投票
muttered,つぶやい
thither,あちらの方へ
oxford,オックスフォード
cavalry,騎兵
lofty,高尚
endure,耐える
succeed,成功します
leg,脚
bid,入札
Alice,アリス
hated,嫌わ
civilization,文明
u.s.,我ら。
acting,演技
landed,着陸
Christians,キリスト教徒
passions,情欲
interior,インテリア
scarce,乏しいです
lightly,軽く
disturbed,乱さ
rev,REV
supreme,最高
hang,ハング
notwithstanding,にもかかわらず
shock,ショック
exception,例外
offering,募集
display,表示
strain,歪み
drank,飲みました
confined,限られました
o,O
exhausted,疲れ
poets,詩人
sounded,聞こえました
aim,目的
critical,クリティカル
Jerusalem,エルサレム
directions,行き方
negro,黒人
fearful,恐ろしいです
standard,標準
studied,研究
bag,バッグ
n,n個
buildings,建物
consequences,結果
commenced,開始
deeper,もっと深く
repeat,繰り返す
driving,駆動
beasts,獣
track,追跡
rid,取り除きます
holds,保持しています
residence,レジデンス
steadily,どんどん
intimate,親しいです
drinking,飲酒
swear,誓う
treasure,宝
fun,遊び
throwing,投げ
apt,がち
enterprise,企業
queer,奇妙
seed,シード
tower,タワー
runs,実行
defend,守る
favourite,お気に入り
desires,欲望
heavily,ずっしり
assembled,組み立て
existed,存在していました
depends,依存
poems,詩
hesitated,躊躇
stuff,スタッフ
section,セクション
settlement,決済
staring,見つめます
sole,唯一
roads,道路
plate,プレート
Mexico,メキシコ
overcome,打ち勝ちます
pains,痛み
performing,実行
dwell,ドエル
grounds,根拠
taxes,税
marble,大理石
recently,最近
tones,トーン
ability,能力
awake,起きている
Walter,ウォルター
wave,波
shaking,動揺
folk,フォーク
possibility,可能性
butter,バター
fury,激怒
marched,行進
Moses,モーセ
writes,書き込み
issued,発行済み
sailed,航海
instructions,説明書
hatred,憎しみ
pursuit,追撃
pull,引く
furniture,家具
additions,追加
hid,HID
rope,ロープ
vi,VI
adventure,冒険
royalty,皇族
vanished,消えました
arts,芸術
elder,先輩
signal,信号
wanting,望みます
supplied,供給
feast,饗宴
safely,安全に
burn,燃やす
describe,述べます
references,リファレンス
lesson,レッスン
annual,毎年の
card,カード
passes,パス
application,応用
intelligent,インテリジェント
county,郡
beaten,打たれました
presents,プレゼント
format,フォーマット
flow,フロー
sixty,六十
scale,規模
damage,ダメージ
marks,マーク
obtaining,入手
moreover,又
commerce,商業
startled,びっくり
southern,南方の
consequently,この結果
outer,アウター
belongs,所属
ben,ベン
wrought,鍛造
average,平均
naked,裸
conducted,実施
rivers,河川
songs,曲
obvious,明らか
foundation,財団
concern,懸念
ceremony,式
magic,マジック
campaign,運動
hunting,狩猟
Carolina,カロライナ州
liberal,リベラル
whisper,囁き
largely,大部分
commonly,一般に
torn,引き裂かれました
exists,存在します
contributions,貢献
hunt,ハント
teacher,先生
Christianity,キリスト教
lawyer,弁護士
operations,オペレーション
detail,ディテール
shortly,まもなく
Caesar,シーザー
wondering,不思議
leaders,リーダー
blessing,祝福
princess,王女
he'd,彼がしたいです
altar,祭壇
tenderness,優しさ
tiny,小さな
web,ウェブ
cardinal,枢機卿
sharply,鋭く
regiment,連隊
chest,胸
distinctly,はっきり
purple,紫の
creating,作成
gather,ギャザー
depth,深さ
indignation,憤慨
performance,演奏
election,選挙
prosperity,繁栄
gloomy,悲観的
conception,概念
clerk,店員
decide,決めます
drunk,酔っ
victim,犠牲者
reflected,反映
pour,注ぐ
preceding,前の
individuals,個人
gazing,眺め
absurd,不合理
lift,リフト
gesture,ジェスチャー
armies,軍隊
limbs,手足
manage,管理します
brethren,同胞
Hugh,ヒュー
plays,劇
hastened,早めます
dragged,ドラッグ
motive,動かす
whatsoever,全く
pointing,ポインティング
verses,詩
pronounced,顕著
exchange,両替
definite,確か
emperor,天皇
tendency,傾向
remote,遠隔
finish,仕上がり
flag,国旗
