zh,ja
不幸,不運
矛盾,矛盾
改造,改革
感覺,感じられる
董事長,取締役会会長
競爭力,競争力
中間,真ん中
毛澤東,毛沢東
痛,痛み
痛,痛み
採購,購入
採購,購入
堆,ヒープ
蛇,ヘビ
有意,意図的に
估計,見積もり
層次,レベル
主導,リーディング
足夠,足りる
林,森林
飯,米
號,番号
親自,自ら
主導,リーディング
等到,まで待ちます
便宜,安い
更為,もっと
天空,空
反彈,リバウンド
似,似
些,いくつか
爸,お父さん
訓練,トレーニング
尋求,求める
尋求,求める
反彈,リバウンド
手法,技術
私人,プライベート
光碟,CD
立法院,議会
組合,組み合わせ
組合,組み合わせ
稍,少し
層面,レベル
中研院,中央研究院
困擾,強迫観念
熱鬧,にぎやか
日後,未来
實,現実
熱鬧,にぎやか
喜愛,お気に入り
喜愛,お気に入り
時,時間
美好,良い
機車,機関車
韓國,韓国
收入,所得
議員,メンバー
衛星,衛生
勝,勝利
註,註
徹底,綿密な
預定,予約
房屋,家
提醒,思い出させる
蓋,カバー
營運,サービス
提醒,思い出させる
所在,所在
詳細,詳細
蓋,カバー
結論,結論は
反正,ともかく、
牛,牛
右,右
廣泛,広く
廣泛,広く
愉快,喜び
陣,フロント
愉快,喜び
優勢,アドバンテージ
流程,処理する
搭,取る
階級,クラス
境界,分野
大部份,大多数の
限制,リミット
連續,連続
客人,ゲスト
秩序,注文
力,力
力,力
這兒,ここ
養,保つ
保守,保つ
保守,保つ
過去,過去
市立,市立
引發,イニシエーション
東方,東
大盤,市場
奧會,オリンピック
財務,ファイナンス
經歷,経験
經歷,経験
面,ヌードル
錯誤,間違い
爺爺,おじいさん
國會,会議
差距,ギャップ
傷害,危害
委託,委ねます
之所以,理由
台,タワー
趕快,急げ
移民,移民
商店,店
委託,委ねます
投票,投票
同事,同僚
進而,その後
將軍,全般的
球員,プレーヤー
原來,であった
冷,寒い
感染,感染
導演,監督
人間,人間
古,古
感染,感染
財產,財産
分享,共有
遺址,廃墟
發覺,探す
造型,モデリング
一面,片側
分享,共有
不只,だけでなく、
不禁,助けることはできません
打破,押し入る
忽略,忘れる
原有,元の
草案,下書き
害怕,恐れ
身為,として
性能,パフォーマンス
活潑,活気ある
記錄,記録
清華,清華大学
綜合,包括的
講話,話す
儘量,できるだけ
違反,違反
偉大,すごい
金額,お金
功課,宿題
偉大,すごい
場地,サイト
龐大,巨大な
市區,ダウンタウンエリア
巴黎,パリ
反省,反省
主角,主人公
理事長,会長
背後,後ろ
龐大,巨大な
反省,反省
犧牲,犠牲
天,空
蠻,とても
以便,となることによって
犧牲,犠牲
預防,防止
爭,喧嘩
種類,種類
預防,防止
就業,雇用を入手
本土,地元
天氣,天気
夫妻,カップル
左,左
優點,アドバンテージ
嗯哼,うん
就業,雇用を入手
事物,もの
困境,苦境
呼籲,電話
呼籲,電話
據說,それは言われています
人事,人員
大學生,大学生
洗,ウォッシュ
農村,田舎
數學,数学
女士,逃す
風氣,雰囲気
必然,避けられない
難得,レア
樂器,楽器
果然,本当
安非他命,アンフェタミン
床,ベッド
局,オフィス
指,参照する
戲,演奏する
除非,そうでもなければ
訂,注文
研究員,研究者
唉,あわや
著手,始まります
熱烈,暖かい
按,によると
能源,エネルギー
其餘,残り
找出,探し出す
影片,映画
白色,白い
可以,できる
等待,待つ
創作,創造
等待,待つ
年度,年
慢,スロー
缺點,短所
接近,近く
數據,データ
缺,足らない
中,真ん中
條例,規制
藥,薬
報告,報告
身邊,その周り
改為,かわった
指標,索引
沿,平行
設定,設定
眼光,ヴィジョン
設定,設定
聰明,頭がいい
聰明,頭がいい
下列,以下
打電話,呼び出します
舉,動く
醫學院,医学部
參考,参照する
大自然,自然
騎,乗る
人際,人
漢人,ハン
剩下,残る
傳播,展開する
自從,以来
傳播,展開する
冠軍,チャンピオン
學會,学び
海洋,海洋
彷彿,かのように
東京,東京
負擔,重荷
知名,有名
那兒,そこの
爭議,紛争
實質,物質
查詢,問い合わせ
查詢,問い合わせ
校務,学校
部隊,力
火車,列車
幼稚園,幼稚園
話題,トピック
感謝,NS
感謝,NS
獎金,ボーナス
大師,グランドマスター
聯絡,繋がり
聯絡,繋がり
原始,元の
北市,台北市
課題,課題
路線,ルート
信仰,信念
英雄,勇者
契約,契約
訂定,特
批評,批判
法院,裁判所
訂定,特
愛情,愛
依據,に従い
適用,適用されます
學位,理学士
水庫,貯水池
千,千
民主,民主主義
贊成,承認
好奇,奇妙な
好奇,奇妙な
科威特,クウェート
體會,経験
體會,経験
熊貓,パンダ
暫時,一時的
萬,万
較為,もっと
單純,単純
透露,開示
品牌,ブランド
候選人,候補者
單純,単純
看來,そうみたいです
內涵,含蓄
登記,登録
登記,登録
棵,木
會長,大統領
核心,芯
家具,家具
座談會,フォーラム
症狀,症状
火,火
一帶,領域
患者,忍耐強い
很少,レア
有名,有名
依照,によると
忘記,忘れる
小型,小規模
占,取り上げる
手段,意味
優秀,優れた
倒是,触れます
明星,スター
吸收,吸収します
吸收,吸収します
人格,正確
指數,索引
做好,良い
動態,動的
游泳,泳ぐ
不如,ない良いほど
出生,生まれ
出生,生まれ
遂,それで
當作,として
會,ミーティング
學問,知識
嘗試,試す
全民,全体の人々
部落,部族
賺,得る
聯合國,国連
擺,置く
賺錢,メイクお金
與會,参加者
鳥類,鳥類
答應,約束する
掛,下がる
石頭,結石
挫折,欲求不満
飛行,フライト
飛行,フライト
行程,旅
理性,理由
夫人,レディ
累,疲れた
轉變,変化する
轉變,変化する
本質,自然
上班,仕事
興奮,興奮した
那邊,そこの
興奮,興奮した
帶動,ドライブ
急,急
帶動,ドライブ
捷運,MRT
諸,様々
廣,幅
慶祝,祝う
司機,運転者
難過,悲しい
高雄市,高雄市
習慣,癖
出席,参加する
出席,参加する
外界,外の世界
女孩子,女の子
語法,文法
頁,ページ
閱讀,読む
頭,頭
借,かりて
拍攝,撮影
拍攝,撮影
家族,家族
身心,心と体
專門,専門的な
可憐,pitful
舞蹈,ダンス
味道,匂い
個案,場合
事先,あらかじめ
大專,カレッジ
下面,下
下,下
練習,練習
就算,もしそれでも
南非,南アフリカ
表情,表現
耶,うん
藉著,に
以致,となることによって
自殺,自殺
助理,アシスタント
自殺,自殺
洞,穴
測試,テスト
臺北市,台北市
歐美,ヨーロッパ
獎勵,アワード
杯,カップ
體驗,経験
浪費,無駄
體驗,経験
個人電腦,パソコン
本人,自分自身
口,口
質疑,質問
質疑,質問
血液,血液
走向,ストライク
形態,形態
步驟,ステップ
視覺,ビジュアル
正面,フロント
收費,通行料金
收費,通行料金
促使,原因
補助,補助金
階層,地層
期望,予想
實驗室,ラボ
皮膚,肌
病患,忍耐
武器,武器
日益,ますます
大都,多くの
獎,賞
檢討,レビュー
螢幕,画面
檢討,レビュー
禁止,禁止
起來,立ち上がる
輔大,Furen大学
旅客,乗客
繪畫,ペインティング
用,使用する
用,使用する
生,妊娠
腳步,ペース
設計師,デザイナー
救,保存する
納入,付属
南部,南部
害,危害を与える
計程車,タクシー
光,光
貴,高価な
現代化,近代化
破,壊す
吹,吹く
勇氣,勇気
現代化,近代化
氣候,気候
化學,化学
巴西,ブラジル
人權,人権
這麼多,そんなに
生涯,キャリア
文件,資料
簡直,単に
導向,ガイド
儀式,式
用途,使用する
生長,育つ
舞台,ステージ
逢,毎回
逢,毎回
生長,育つ
義工,ボランティア
科學家,科学者
業主,オーナー
軍隊,軍
各自,それぞれの
如果說,我々は仮定した場合
案件,場合
爆發,起こる
有如,好き
各界,すべての生命の散歩
題目,トピック
街頭,街
寬,幅
有如,好き
爆發,起こる
底,終わり
決策,意思決定
抱,ハグ
故宮,禁じられた都市
傑出,顕著
窗,窓
說明,命令
糧食,食物
固然,もちろん
變遷,変化する
變遷,変化する
議題,問題
凡,全て
太多,過度に
民俗,民俗
唱片,記録
實驗,実験
處於,の
效益,利点
古典,クラシカル
構想,考え
期望,予想
推薦,お勧め
收集,収集
推薦,お勧め
命,人生
車輛,車両
收集,収集
實踐,練習
商人,商人
華航,チャイナエアライン
頭髮,髪
實踐,練習
描述,説明
潮流,傾向
若干,いくつかの
方,方
台灣人,台湾
領袖,盟主
眾多,多数
故意,故意に
和諧,調和のとれました
和諧,調和のとれました
取締,禁止
取締,禁止
抽,煙
大地,地球
大門,ドア
追,追跡
性別,性別
邀,招待
入學,エントリ
傷害,危害
更新,書き換えます
呈,見せる
更新,書き換えます
中學,高校
吳,呉
保障,保証
書籍,書籍
四周,四週間
客觀,目的
戶,家庭
檢驗,テスト
蒐集,収集
蒐集,収集
檢驗,テスト
獨特,個性的
無奈,選択肢がありません
肉,肉
無限,無制限
觀賞,時計
觀賞,時計
可能性,可能性
無奈,選択肢がありません
現代人,モダン
情勢,情勢
推展,前方ください
推展,前方ください
師大,普通
宣布,発表
律師,弁護士
宣布,発表
波斯灣,ペルシャ湾
飲食,ダイエット
睡覺,睡眠
空,ヌル
聯合,ジョイント
可見,見える
訪,訪問
電力,電気
失望,残念だった
鄉,郷
旅館,ホステル
政黨,政治団体
取消,キャンセル
地面,接地
防止,防ぐ
取消,キャンセル
言論,備考
差別,違い
失望,残念だった
建造,我慢する
代價,料金
戴,身に着けていました
跟,と
常見,一般
房地產,不動産
食品,食物
個別,個人
建造,我慢する
來賓,ゲスト
重複,繰り返す
兼,と
意外,事故
秒,2番目
全體,全て
方,方
沒想到,予期しなかった
足以,十分な
損失,損失
當場,その場で
舒服,快適
憑,に基づく
手術,手術
之內,以内に
信任,信頼
血,血
信任,信頼
公務員,公務員
浪漫,ロマンチック
浪漫,ロマンチック
業界,業界
棟,建物
暴力,暴力
腿,足
充實,満杯
公會,ギルド
也就是說,それか
升級,アップグレード
升級,アップグレード
指示,指示し
充實,満杯
古蹟,史跡
還,戻る
緊急,急
創業,仕事
新竹市,新竹市
創業,仕事
裡頭,中身
基因,遺伝子
崇拜,崇拝
崇拜,崇拝
風景,風景
也好,イェ
日期,日付
佛教,仏教
一一,全て
當局,当局
進,入力
格式,フォーマット
北部,北部
吸食,喫煙
天天,一日一日
現況,現況
紙,論文
貨,品
相反,それどころか
按照,によると
特,特別
吸食,喫煙
見面,会う
見面,会う
發動,発売
公頃,ハ
主機,ホストコンピューター
隨便,カジュアル
資本,資本
發動,発売
裝,パック
走進,の中へ
分類,分類
別,別
泰國,タイ
倫敦,ロンドン
秘書,秘書
部屬,下位
高度,高い
問卷,アンケート
乾淨,綺麗
肝炎,肝炎
來臨,降臨
來臨,降臨
胡,胡
保證,確認
能否,できる
肚子,腹部
地震,地震
指定,指定
時常,頻繁
民營,プライベート
確保,確実に
新台幣,NT
喊,電話
途徑,道
民營,プライベート
一路,はるばる
輸出,書き出す
敏感,センシティブ
溫暖,暖かさ
可怕,最悪
生理,生理的な
月亮,月
輸出,書き出す
癌,癌
溫暖,暖かさ
動機,動機
連,平
帶領,リード
帶領,リード
東南亞,東南アジア
印表機,プリンタ
成分,エレメント
據了解,それは理解されています
儒家,儒教
可怕,最悪
教育,教育します
設法,試す
儲存,お店
搭配,コロケーション
傳輸,トランスミッション
離,離れる
圖書,図書
搭配,コロケーション
高科技,ハイテク
治,ルール
門口,戸口
外在,外部の
儲存,お店
符號,シンボル
風貌,シーン
名詞,名詞
合併,マージ
利潤,利益
合併,マージ
搶,つかむ
幹,ドライ
無數,数え切れません
奧運,五輪
就,一度に
句子,文
娛樂,エンターテイメント
百貨,雑貨
分子,分子の
厲害,シャープ
零,零
厲害,シャープ
殘障,無効
殘障,無効
國語,マンダリン
少女,処女
作,行う
教堂,教会
許,5月
風險,危険
教科書,教科書
黑色,黒
資深,シニア
資深,シニア
就讀,出席した
曉得,知る
請問,すみません
增進,強化する
增進,強化する
贏得,勝つ
犯罪,犯罪
台幣,NT
犯罪,犯罪
偶爾,たまに
培訓,列車
譬如說,実例
上帝,神様
種,親切
輩子,一生
筆者,著者
喪失,失う
部長,牧師
寂寞,さみしい
培訓,列車
設有,特徴
情報,情報
前來,来て
飛彈,ミサイル
虎,虎
寂寞,さみしい
專題,特別なトピック
排名,ランキング
怎樣,どうやって
案例,場合
傳送,配達
排名,ランキング
允許,許可する
允許,許可する
認定,見つけました
威脅,脅威
認定,見つけました
大聲,うるさい
傳送,配達
當做,として
經銷商,ディーラー
將近,ほぼ
戰,戦争
愛心,愛
回國,帰宅
跑到,に行ってきました
過來,やって来る
印度,インド
音,音
待遇,処理
開會,ミーティング
身分,身元
存,住む
留學,留学する
重要性,重要性
時機,機会
國科會,NSC
時刻,時間
節,祭り
開會,ミーティング
遭到,苦しむ
不已,絶え間なく
中油,CNPC
景氣,繁栄
補充,追加
公主,お姫様
千萬,1000万
公布,発表
公布,発表
豬,豚
潛力,潜在的な
黃金,ゴールド
單元,単位
街道,街
略,少し
財產權,財産
地理,地理
周,週
到達,到着
電信局,電気通信事務所
促銷,プロモーション
工程師,エンジニア
確實,本当
遠距,遠隔
驚人,すばらしい
為,にとって
促銷,プロモーション
為,にとって
彩色,色
真理,NS
宣佈,発表
變動,変化する
點,点
變動,変化する
市政府,市役所
躺,嘘
漸,徐々に
普通,普通
進來,お入りください
涉及,関与
保護區,保護された領域
版本,バージョン
制定,策定
制定,策定
定義,意味
事項,案件
法則,法
否認,拒否
抱怨,不平をいう
宜蘭,宜蘭
人群,群衆
廣大,広大
鄰居,近所の人
模型,モデル
忍不住,助けることはできません
現行,有効
瓷器,磁器
荷蘭,オランダ
家鄉,出身地
前途,将来
花蓮,花蓮
含,含む
合約,契約する
官方,正式
成效,効果
克服,克服
循環,サイクル
新鮮,新鮮
和解,和解
和解,和解
原先,元の
金,ゴールド
油,油
臺,タワー
巨大,巨大な
公車,バス
傳說,伝説
動力,パワー
推行,実施
雞,チキン
回應,答え
介入,介入
內在,内部
人體,人体
介入,介入
謂,電話
臺大,国立台湾大学
確,それはそう
能,できる
美術,美術
活力,活力
致,原因
活動,アクティビティ
完,終了
那麼多,非常に多くの
物理,物理
推行,実施
終,終わり
分成,分割します
台中市,台中市
代理,演技
代理,演技
樂趣,喜び
超級,素晴らしい
勞動,労働
勞動,労働
唯有,それだけ
宣傳,宣伝
交給,に
受傷,Injuried
講師,講師
抵達,到着
體重,重さ
不見得,必ずしも
領導,リード
蝸牛,カタツムリ
群眾,大衆
抵達,到着
刻意,故意に
